RewardLink,RankMin,RankMax,ZoneMin,ZoneMax,LabelDescription,Rarity,PoolQty
pvp_tier_points_3,100,499,1,3,gems,generic,5
pvp_tier_points_3,100,499,1,3,gold,generic,500
pvp_tier_points_3,100,499,1,3,Rare Material,rare,5
pvp_tier_points_3,100,499,1,3,Regulator,generic,10
pvp_tier_points_3,500,999,1,3,gems,generic,10
pvp_tier_points_3,500,999,1,3,gold,generic,1000
pvp_tier_points_3,500,999,1,3,Rare Material,rare,10
pvp_tier_points_3,500,999,1,3,Regulator,generic,15
pvp_tier_points_3,1000,2999,1,3,gems,generic,20
pvp_tier_points_3,1000,2999,1,3,gold,generic,1500
pvp_tier_points_3,1000,2999,1,3,Rare Material,rare,15
pvp_tier_points_3,1000,2999,1,3,Regulator,generic,20
pvp_tier_points_3,3000,4999,1,3,gems,generic,30
pvp_tier_points_3,3000,4999,1,3,gold,generic,2000
pvp_tier_points_3,3000,4999,1,3,Rare Material,rare,20
pvp_tier_points_3,3000,4999,1,3,Regulator,generic,25
pvp_tier_points_3,5000,5999,1,3,gems,generic,40
pvp_tier_points_3,5000,5999,1,3,gold,generic,3000
pvp_tier_points_3,5000,5999,1,3,Rare Material,rare,25
pvp_tier_points_3,5000,5999,1,3,Regulator,generic,30
pvp_tier_points_3,6000,7499,1,3,gems,generic,50
pvp_tier_points_3,6000,7499,1,3,gold,generic,4000
pvp_tier_points_3,6000,7499,1,3,Rare Material,rare,30
pvp_tier_points_3,6000,7499,1,3,Regulator,generic,35
pvp_tier_points_3,7500,10999,1,3,Epic Material,epic,1
pvp_tier_points_3,7500,10999,1,3,gems,generic,60
pvp_tier_points_3,7500,10999,1,3,gold,generic,5000
pvp_tier_points_3,7500,10999,1,3,Regulator,generic,40
pvp_tier_points_3,11000,14999,1,3,Epic Material,epic,1
pvp_tier_points_3,11000,14999,1,3,gems,generic,70
pvp_tier_points_3,11000,14999,1,3,gold,generic,10000
pvp_tier_points_3,11000,14999,1,3,Regulator,generic,45
pvp_tier_points_3,15000,987654321,1,3,Cosmetic Chest,cosmetic,1
pvp_tier_points_3,15000,987654321,1,3,Epic Material,epic,2
pvp_tier_points_3,15000,987654321,1,3,gems,generic,80
pvp_tier_points_3,15000,987654321,1,3,gold,generic,20000
pvp_tier_points_3,15000,987654321,1,3,Regulator,generic,50
pvp_tier_points_3,1000,1899,4,4,gems,generic,5
pvp_tier_points_3,1000,1899,4,4,Rare Material,rare,10
pvp_tier_points_3,1000,1899,4,4,Regulator,generic,10
pvp_tier_points_3,1900,4799,4,4,gems,generic,10
pvp_tier_points_3,1900,4799,4,4,Rare Material,rare,15
pvp_tier_points_3,1900,4799,4,4,Regulator,generic,15
pvp_tier_points_3,4800,7499,4,4,gems,generic,20
pvp_tier_points_3,4800,7499,4,4,Rare Material,rare,20
pvp_tier_points_3,4800,7499,4,4,Regulator,generic,20
pvp_tier_points_3,7500,12499,4,4,gems,generic,30
pvp_tier_points_3,7500,12499,4,4,Rare Material,rare,25
pvp_tier_points_3,7500,12499,4,4,Regulator,generic,25
pvp_tier_points_3,12500,16999,4,4,gems,generic,40
pvp_tier_points_3,12500,16999,4,4,Rare Material,rare,30
pvp_tier_points_3,12500,16999,4,4,Regulator,generic,30
pvp_tier_points_3,17000,21999,4,4,gems,generic,50
pvp_tier_points_3,17000,21999,4,4,Rare Material,rare,50
pvp_tier_points_3,17000,21999,4,4,Regulator,generic,35
pvp_tier_points_3,22000,26999,4,4,Epic Material,epic,1
pvp_tier_points_3,22000,26999,4,4,gems,generic,60
pvp_tier_points_3,22000,26999,4,4,Regulator,generic,40
pvp_tier_points_3,27000,34999,4,4,Epic Material,epic,2
pvp_tier_points_3,27000,34999,4,4,gems,generic,75
pvp_tier_points_3,27000,34999,4,4,Regulator,generic,45
pvp_tier_points_3,35000,987654321,4,4,Cosmetic Chest,cosmetic,1
pvp_tier_points_3,35000,987654321,4,4,Epic Material,epic,4
pvp_tier_points_3,35000,987654321,4,4,gems,generic,100
pvp_tier_points_3,35000,987654321,4,4,Regulator,generic,50
pvp_tier_points_3,2500,3499,5,5,gems,generic,10
pvp_tier_points_3,2500,3499,5,5,Rare Material,rare,10
pvp_tier_points_3,2500,3499,5,5,Regulator,generic,10
pvp_tier_points_3,3500,7499,5,5,gems,generic,15
pvp_tier_points_3,3500,7499,5,5,Rare Material,rare,20
pvp_tier_points_3,3500,7499,5,5,Regulator,generic,15
pvp_tier_points_3,8500,12999,5,5,gems,generic,20
pvp_tier_points_3,8500,12999,5,5,Rare Material,rare,25
pvp_tier_points_3,8500,12999,5,5,Regulator,generic,20
pvp_tier_points_3,13000,21999,5,5,gems,generic,25
pvp_tier_points_3,13000,21999,5,5,Rare Material,rare,30
pvp_tier_points_3,13000,21999,5,5,Regulator,generic,25
pvp_tier_points_3,22000,27999,5,5,gems,generic,50
pvp_tier_points_3,22000,27999,5,5,Rare Material,rare,50
pvp_tier_points_3,22000,27999,5,5,Regulator,generic,30
pvp_tier_points_3,28000,34999,5,5,Epic Material,epic,2
pvp_tier_points_3,28000,34999,5,5,gems,generic,60
pvp_tier_points_3,28000,34999,5,5,Regulator,generic,35
pvp_tier_points_3,35000,39999,5,5,Epic Material,epic,4
pvp_tier_points_3,35000,39999,5,5,gems,generic,70
