RewardLink,RankMin,RankMax,ZoneMin,ZoneMax,LabelDescription,Rarity,PoolQty
reward_material_set_tg_gems_3,1,1,1,3,Mount Guts,generic,200
reward_material_set_tg_gems_3,1,1,1,3,Regulator,generic,200
reward_material_set_tg_gems_3,1,1,1,3,Rune Fragment,generic,200
reward_tier_material_tg_6,1,1,1,3,Epic Material,epic,10
reward_tier_material_tg_6,2,2,1,3,Epic Material,epic,8
reward_material_set_tg_gems_3,2,2,1,3,Mount Guts,generic,160
reward_material_set_tg_gems_3,2,2,1,3,Regulator,generic,160
reward_material_set_tg_gems_3,2,2,1,3,Rune Fragment,generic,160
reward_material_set_tg_gems_3,3,5,1,3,Mount Guts,generic,140
reward_material_set_tg_gems_3,3,5,1,3,Regulator,generic,140
reward_material_set_tg_gems_3,3,5,1,3,Rune Fragment,generic,140
reward_tier_material_tg_6,3,5,1,3,Epic Material,epic,7
reward_tier_material_tg_6,6,25,1,3,Epic Material,epic,6
reward_material_set_tg_gems_3,6,25,1,3,Mount Guts,generic,120
reward_material_set_tg_gems_3,6,25,1,3,Regulator,generic,120
reward_material_set_tg_gems_3,6,25,1,3,Rune Fragment,generic,120
reward_material_set_tg_gems_3,26,50,1,3,Mount Guts,generic,100
reward_material_set_tg_gems_3,26,50,1,3,Regulator,generic,100
reward_material_set_tg_gems_3,26,50,1,3,Rune Fragment,generic,100
reward_tier_material_tg_6,26,50,1,3,Epic Material,epic,5
reward_tier_material_tg_6,51,250,1,3,Epic Material,epic,4
reward_material_set_tg_gems_3,51,250,1,3,Mount Guts,generic,90
reward_material_set_tg_gems_3,51,250,1,3,Regulator,generic,90
reward_material_set_tg_gems_3,51,250,1,3,Rune Fragment,generic,90
reward_material_set_tg_gems_3,251,500,1,3,Mount Guts,generic,80
reward_material_set_tg_gems_3,251,500,1,3,Regulator,generic,80
reward_material_set_tg_gems_3,251,500,1,3,Rune Fragment,generic,80
reward_tier_material_tg_6,251,500,1,3,Epic Material,epic,3
reward_tier_material_tg_6,501,1000,1,3,Epic Material,epic,2
reward_material_set_tg_gems_3,501,1000,1,3,Mount Guts,generic,70
reward_material_set_tg_gems_3,501,1000,1,3,Regulator,generic,70
reward_material_set_tg_gems_3,501,1000,1,3,Rune Fragment,generic,70
reward_tier_material_tg_6,1001,2000,1,3,Epic Material,epic,1
reward_material_set_tg_gems_3,1001,2000,1,3,Mount Guts,generic,60
reward_material_set_tg_gems_3,1001,2000,1,3,Regulator,generic,60
reward_material_set_tg_gems_3,1001,2000,1,3,Rune Fragment,generic,60
reward_material_set_tg_gems_3,2001,3000,1,3,Mount Guts,generic,50
reward_material_set_tg_gems_3,2001,3000,1,3,Regulator,generic,50
reward_material_set_tg_gems_3,2001,3000,1,3,Rune Fragment,generic,50
reward_material_set_tg_gems_3,3001,4000,1,3,Mount Guts,generic,40
reward_material_set_tg_gems_3,3001,4000,1,3,Regulator,generic,40
reward_material_set_tg_gems_3,3001,4000,1,3,Rune Fragment,generic,40
reward_tier_minor_rune_4,3001,4000,1,3,Minor Rune,common,1
reward_tier_minor_rune_4,4001,5000,1,3,Minor Rune,common,1
reward_material_set_tg_gems_3,4001,5000,1,3,Mount Guts,generic,30
reward_material_set_tg_gems_3,4001,5000,1,3,Regulator,generic,30
reward_material_set_tg_gems_3,4001,5000,1,3,Rune Fragment,generic,30
reward_material_set_tg_gems_3,5001,7500,1,3,Mount Guts,generic,20
reward_material_set_tg_gems_3,5001,7500,1,3,Regulator,generic,20
reward_material_set_tg_gems_3,5001,7500,1,3,Rune Fragment,generic,20
reward_tier_minor_rune_4,5001,7500,1,3,Minor Rune,common,1
reward_tier_minor_rune_4,7501,10000,1,3,Minor Rune,common,1
reward_material_set_tg_gems_3,7501,10000,1,3,Mount Guts,generic,10
reward_material_set_tg_gems_3,7501,10000,1,3,Regulator,generic,10
reward_material_set_tg_gems_3,7501,10000,1,3,Rune Fragment,generic,10
reward_material_set_tg_gems_3,10001,20000,1,3,Mount Guts,generic,5
reward_material_set_tg_gems_3,10001,20000,1,3,Regulator,generic,5
reward_material_set_tg_gems_3,10001,20000,1,3,Rune Fragment,generic,5
reward_tier_minor_rune_4,10001,20000,1,3,Minor Rune,common,1
reward_tier_material_tg_6,1,1,4,4,Epic Material,epic,15
reward_material_set_tg_gems_3,1,1,4,4,Mount Guts,generic,250
reward_material_set_tg_gems_3,1,1,4,4,Regulator,generic,250
reward_material_set_tg_gems_3,1,1,4,4,Rune Fragment,generic,250
reward_material_set_tg_gems_3,2,2,4,4,Mount Guts,generic,225
reward_material_set_tg_gems_3,2,2,4,4,Regulator,generic,225
reward_material_set_tg_gems_3,2,2,4,4,Rune Fragment,generic,225
reward_tier_material_tg_6,2,2,4,4,Epic Material,epic,12
reward_tier_material_tg_6,3,5,4,4,Epic Material,epic,10
reward_material_set_tg_gems_3,3,5,4,4,Mount Guts,generic,200
reward_material_set_tg_gems_3,3,5,4,4,Regulator,generic,200
reward_material_set_tg_gems_3,3,5,4,4,Rune Fragment,generic,200
reward_material_set_tg_gems_3,6,25,4,4,Mount Guts,generic,175
reward_material_set_tg_gems_3,6,25,4,4,Regulator,generic,175
reward_material_set_tg_gems_3,6,25,4,4,Rune Fragment,generic,175
reward_tier_material_tg_6,6,25,4,4,Epic Material,epic,9
reward_tier_material_tg_6,26,50,4,4,Epic Material,epic,8
reward_material_set_tg_gems_3,26,50,4,4,Mount Guts,generic,150
reward_material_set_tg_gems_3,26,50,4,4,Regulator,generic,150
reward_material_set_tg_gems_3,26,50,4,4,Rune Fragment,generic,150
reward_material_set_tg_gems_3,51,250,4,4,Mount Guts,generic,125
reward_material_set_tg_gems_3,51,250,4,4,Regulator,generic,125
reward_material_set_tg_gems_3,51,250,4,4,Rune Fragment,generic,125
reward_tier_material_tg_6,51,250,4,4,Epic Material,epic,6
reward_tier_material_tg_6,251,500,4,4,Epic Material,epic,4
reward_material_set_tg_gems_3,251,500,4,4,Mount Guts,generic,100
reward_material_set_tg_gems_3,251,500,4,4,Regulator,generic,100
reward_material_set_tg_gems_3,251,500,4,4,Rune Fragment,generic,100
reward_material_set_tg_gems_3,501,1000,4,4,Mount Guts,generic,75
reward_material_set_tg_gems_3,501,1000,4,4,Regulator,generic,75
reward_material_set_tg_gems_3,501,1000,4,4,Rune Fragment,generic,75
reward_tier_material_tg_6,501,1000,4,4,Epic Material,epic,3
reward_tier_material_tg_6,1001,2000,4,4,Epic Material,epic,2
reward_material_set_tg_gems_3,1001,2000,4,4,Mount Guts,generic,50
reward_material_set_tg_gems_3,1001,2000,4,4,Regulator,generic,50
reward_material_set_tg_gems_3,1001,2000,4,4,Rune Fragment,generic,50
reward_material_set_tg_gems_3,2001,3000,4,4,Mount Guts,generic,25
reward_material_set_tg_gems_3,2001,3000,4,4,Regulator,generic,25
reward_material_set_tg_gems_3,2001,3000,4,4,Rune Fragment,generic,25
reward_tier_material_tg_6,2001,3000,4,4,Epic Material,epic,1
reward_tier_minor_rune_4,2001,3000,1,4,Minor Rune,common,1
reward_tier_minor_rune_4,1,1,1,5,Minor Rune,epic,1
reward_tier_material_tg_6,1,1,5,5,Hyper Shard,legendary,15
reward_material_set_tg_gems_3,1,1,5,5,Mount Guts,generic,300
reward_material_set_tg_gems_3,1,1,5,5,Regulator,generic,300
reward_material_set_tg_gems_3,1,1,5,5,Rune Fragment,generic,300
reward_material_set_tg_gems_3,2,2,5,5,Mount Guts,generic,250
reward_material_set_tg_gems_3,2,2,5,5,Regulator,generic,250
reward_material_set_tg_gems_3,2,2,5,5,Rune Fragment,generic,250
reward_tier_material_tg_6,2,2,5,5,Hyper Shard,legendary,12
reward_tier_material_tg_6,3,5,5,5,Hyper Shard,legendary,10
reward_material_set_tg_gems_3,3,5,5,5,Mount Guts,generic,225
reward_material_set_tg_gems_3,3,5,5,5,Regulator,generic,225
reward_material_set_tg_gems_3,3,5,5,5,Rune Fragment,generic,225
reward_material_set_tg_gems_3,6,25,5,5,Mount Guts,generic,200
reward_material_set_tg_gems_3,6,25,5,5,Regulator,generic,200
reward_material_set_tg_gems_3,6,25,5,5,Rune Fragment,generic,200
reward_tier_material_tg_6,6,25,5,5,Hyper Shard,legendary,9
reward_tier_minor_rune_4,26,50,1,5,Minor Rune,rare,1
reward_tier_material_tg_6,26,50,5,5,Hyper Shard,legendary,8
reward_material_set_tg_gems_3,26,50,5,5,Mount Guts,generic,175
reward_material_set_tg_gems_3,26,50,5,5,Regulator,generic,175
reward_material_set_tg_gems_3,26,50,5,5,Rune Fragment,generic,175
reward_material_set_tg_gems_3,51,250,5,5,Mount Guts,generic,150
reward_material_set_tg_gems_3,51,250,5,5,Regulator,generic,150
reward_material_set_tg_gems_3,51,250,5,5,Rune Fragment,generic,150
reward_tier_material_tg_6,51,250,5,5,Hyper Shard,legendary,6
reward_tier_material_tg_6,251,500,5,5,Hyper Shard,legendary,4
reward_material_set_tg_gems_3,251,500,5,5,Mount Guts,generic,100
reward_material_set_tg_gems_3,251,500,5,5,Regulator,generic,100
reward_material_set_tg_gems_3,251,500,5,5,Rune Fragment,generic,100
reward_material_set_tg_gems_3,501,1000,5,5,Mount Guts,generic,75
reward_material_set_tg_gems_3,501,1000,5,5,Regulator,generic,75
reward_material_set_tg_gems_3,501,1000,5,5,Rune Fragment,generic,75
reward_tier_material_tg_6,501,1000,5,5,Hyper Shard,legendary,3
reward_tier_material_tg_6,1001,2000,5,5,Hyper Shard,legendary,1
reward_material_set_tg_gems_3,1001,2000,5,5,Mount Guts,generic,50
reward_material_set_tg_gems_3,1001,2000,5,5,Regulator,generic,50
reward_material_set_tg_gems_3,1001,2000,5,5,Rune Fragment,generic,50
reward_tier_material_tg_6,1,1,6,6,Doubloon,legendary,100
reward_material_set_tg_gems_3,1,1,6,6,Mount Guts,generic,350
reward_material_set_tg_gems_3,1,1,6,6,Regulator,generic,350
reward_material_set_tg_gems_3,1,1,6,6,Rune Fragment,generic,350
reward_material_set_tg_gems_3,2,2,6,6,Mount Guts,generic,275
reward_material_set_tg_gems_3,2,2,6,6,Regulator,generic,275
reward_material_set_tg_gems_3,2,2,6,6,Rune Fragment,generic,275
reward_tier_material_tg_6,2,2,6,6,Doubloon,legendary,80
reward_tier_material_tg_6,3,5,6,6,Doubloon,legendary,60
reward_material_set_tg_gems_3,3,5,6,6,Mount Guts,generic,250
reward_material_set_tg_gems_3,3,5,6,6,Regulator,generic,250
reward_material_set_tg_gems_3,3,5,6,6,Rune Fragment,generic,250
reward_material_set_tg_gems_3,6,25,6,6,Mount Guts,generic,225
reward_material_set_tg_gems_3,6,25,6,6,Regulator,generic,225
reward_material_set_tg_gems_3,6,25,6,6,Rune Fragment,generic,225
reward_tier_material_tg_6,6,25,6,6,Doubloon,legendary,50
