RewardLink,RankMin,RankMax,ZoneMin,ZoneMax,LabelDescription,Rarity,PoolQty
tg_tier_points_5,20,49,1,3,gems,generic,5
tg_tier_points_5,20,49,1,3,Item Chest,rare,1
tg_tier_points_5,20,49,1,3,Rune Fragment,generic,10
tg_tier_points_5,50,99,1,3,gems,generic,10
tg_tier_points_5,50,99,1,3,Item Chest,rare,1
tg_tier_points_5,50,99,1,3,Rune Fragment,generic,15
tg_tier_points_5,100,199,1,3,gems,generic,20
tg_tier_points_5,100,199,1,3,Item Chest,rare,1
tg_tier_points_5,100,199,1,3,Rune Fragment,generic,20
tg_tier_points_5,200,499,1,3,gems,generic,30
tg_tier_points_5,200,499,1,3,Item Chest,rare,1
tg_tier_points_5,200,499,1,3,Rune Fragment,generic,25
tg_tier_points_5,500,799,1,3,gems,generic,40
tg_tier_points_5,500,799,1,3,Item Chest,rare,1
tg_tier_points_5,500,799,1,3,Rune Fragment,generic,30
tg_tier_points_5,800,899,1,3,gems,generic,50
tg_tier_points_5,800,899,1,3,Item Chest,rare,1
tg_tier_points_5,800,899,1,3,Rune Fragment,generic,35
tg_tier_points_5,900,1499,1,3,gems,generic,60
tg_tier_points_5,900,1499,1,3,Item Chest,epic,1
tg_tier_points_5,900,1499,1,3,Rune Fragment,generic,40
tg_tier_points_5,1500,1999,1,3,gems,generic,70
tg_tier_points_5,1500,1999,1,3,Item Chest,epic,1
tg_tier_points_5,1500,1999,1,3,Rune Fragment,generic,45
tg_tier_points_5,2000,987654321,1,3,Cosmetic Chest,cosmetic,1
tg_tier_points_5,2000,987654321,1,3,gems,generic,100
tg_tier_points_5,2000,987654321,1,3,Item Chest,epic,1
tg_tier_points_5,2000,987654321,1,3,Rune Fragment,generic,50
tg_tier_points_5,400,999,4,4,gems,generic,5
tg_tier_points_5,400,999,4,4,Item Chest,rare,1
tg_tier_points_5,400,999,4,4,Rune Fragment,generic,10
tg_tier_points_5,1000,1999,4,4,gems,generic,10
tg_tier_points_5,1000,1999,4,4,Item Chest,rare,1
tg_tier_points_5,1000,1999,4,4,Rune Fragment,generic,15
tg_tier_points_5,2000,3499,4,4,gems,generic,20
tg_tier_points_5,2000,3499,4,4,Item Chest,rare,1
tg_tier_points_5,2000,3499,4,4,Rune Fragment,generic,20
tg_tier_points_5,3500,5499,4,4,Epic Material,epic,1
tg_tier_points_5,3500,5499,4,4,gems,generic,30
tg_tier_points_5,3500,5499,4,4,Rune Fragment,generic,25
tg_tier_points_5,5500,7499,4,4,Epic Material,epic,1
tg_tier_points_5,5500,7499,4,4,gems,generic,40
tg_tier_points_5,5500,7499,4,4,Rune Fragment,generic,30
tg_tier_points_5,7500,9999,4,4,Epic Material,epic,1
tg_tier_points_5,7500,9999,4,4,gems,generic,50
tg_tier_points_5,7500,9999,4,4,Rune Fragment,generic,35
tg_tier_points_5,10000,11999,4,4,gems,generic,60
tg_tier_points_5,10000,11999,4,4,Item Chest,epic,1
tg_tier_points_5,10000,11999,4,4,Rune Fragment,generic,40
tg_tier_points_5,12000,14999,4,4,gems,generic,75
tg_tier_points_5,12000,14999,4,4,Item Chest,epic,1
tg_tier_points_5,12000,14999,4,4,Rune Fragment,generic,45
tg_tier_points_5,15000,987654321,4,4,Cosmetic Chest,cosmetic,1
tg_tier_points_5,15000,987654321,4,4,gems,generic,100
tg_tier_points_5,15000,987654321,4,4,Item Chest,legendary,1
tg_tier_points_5,15000,987654321,4,4,Rune Fragment,generic,50
tg_tier_points_5,1250,1749,5,5,gems,generic,10
tg_tier_points_5,1250,1749,5,5,Item Chest,rare,1
tg_tier_points_5,1250,1749,5,5,Rune Fragment,generic,15
tg_tier_points_5,1750,4499,5,5,gems,generic,15
tg_tier_points_5,1750,4499,5,5,Item Chest,rare,1
tg_tier_points_5,1750,4499,5,5,Rune Fragment,generic,20
tg_tier_points_5,4500,6999,5,5,Epic Material,epic,1
tg_tier_points_5,4500,6999,5,5,gems,generic,20
tg_tier_points_5,4500,6999,5,5,Rune Fragment,generic,25
tg_tier_points_5,7000,10999,5,5,Epic Material,epic,1
tg_tier_points_5,7000,10999,5,5,gems,generic,25
tg_tier_points_5,7000,10999,5,5,Rune Fragment,generic,30
tg_tier_points_5,11000,14499,5,5,Epic Material,epic,1
tg_tier_points_5,11000,14499,5,5,gems,generic,50
tg_tier_points_5,11000,14499,5,5,Rune Fragment,generic,35
tg_tier_points_5,14500,17499,5,5,gems,generic,60
tg_tier_points_5,14500,17499,5,5,Item Chest,epic,1
tg_tier_points_5,14500,17499,5,5,Rune Fragment,generic,40
tg_tier_points_5,17500,20999,5,5,gems,generic,70
tg_tier_points_5,17500,20999,5,5,Item Chest,epic,1
tg_tier_points_5,17500,20999,5,5,Rune Fragment,generic,45
tg_tier_points_5,21000,27999,5,5,gems,generic,80
tg_tier_points_5,21000,27999,5,5,Item Chest,epic,1
tg_tier_points_5,21000,27999,5,5,Rune Fragment,generic,50
tg_tier_points_5,28000,987654321,5,5,Cosmetic Chest,cosmetic,1
tg_tier_points_5,28000,987654321,5,5,gems,generic,125
tg_tier_points_5,28000,987654321,5,5,Item Chest,legendary,1
tg_tier_points_5,28000,987654321,5,5,Rune Fragment,generic,60
tg_tier_points_5,1800,3499,6,6,Epic Material,epic,1
tg_tier_points_5,1800,3499,6,6,gems,generic,10
tg_tier_points_5,1800,3499,6,6,Rune Fragment,generic,20
tg_tier_points_5,3500,6999,6,6,Epic Material,epic,1
tg_tier_points_5,3500,6999,6,6,gems,generic,15
tg_tier_points_5,3500,6999,6,6,Rune Fragment,generic,25
tg_tier_points_5,7000,11999,6,6,Epic Material,epic,1
tg_tier_points_5,7000,11999,6,6,gems,generic,20
tg_tier_points_5,7000,11999,6,6,Rune Fragment,generic,30
tg_tier_points_5,12000,19999,6,6,Epic Material,epic,1
tg_tier_points_5,12000,19999,6,6,gems,generic,25
tg_tier_points_5,12000,19999,6,6,Rune Fragment,generic,35
tg_tier_points_5,20000,24499,6,6,gems,generic,50
tg_tier_points_5,20000,24499,6,6,Item Chest,epic,1
tg_tier_points_5,20000,24499,6,6,Rune Fragment,generic,40
tg_tier_points_5,24500,28999,6,6,gems,generic,60
tg_tier_points_5,24500,28999,6,6,Item Chest,epic,1
tg_tier_points_5,24500,28999,6,6,Rune Fragment,generic,45
tg_tier_points_5,29000,35999,6,6,gems,generic,70
tg_tier_points_5,29000,35999,6,6,Item Chest,epic,1
tg_tier_points_5,29000,35999,6,6,Rune Fragment,generic,50
tg_tier_points_5,36000,47999,6,6,gems,generic,80
tg_tier_points_5,36000,47999,6,6,Item Chest,epic,1
tg_tier_points_5,36000,47999,6,6,Rune Fragment,generic,55
tg_tier_points_5,48000,987654321,6,6,Cosmetic Chest,cosmetic,1
tg_tier_points_5,48000,987654321,6,6,gems,generic,150
tg_tier_points_5,48000,987654321,6,6,Item Chest,legendary,1
tg_tier_points_5,48000,987654321,6,6,Rune Fragment,generic,65
tg_tier_points_5,2500,4499,7,7,Epic Material,epic,1
tg_tier_points_5,2500,4499,7,7,gems,generic,10
tg_tier_points_5,2500,4499,7,7,Rune Fragment,generic,25
tg_tier_points_5,4500,5999,7,7,Epic Material,epic,1
tg_tier_points_5,4500,5999,7,7,gems,generic,15
tg_tier_points_5,4500,5999,7,7,Rune Fragment,generic,30
tg_tier_points_5,6000,11999,7,7,Epic Material,epic,1
tg_tier_points_5,6000,11999,7,7,gems,generic,20
tg_tier_points_5,6000,11999,7,7,Rune Fragment,generic,40
tg_tier_points_5,12000,23499,7,7,Epic Material,epic,1
tg_tier_points_5,12000,23499,7,7,gems,generic,25
tg_tier_points_5,12000,23499,7,7,Rune Fragment,generic,45
tg_tier_points_5,23500,34999,7,7,gems,generic,50
tg_tier_points_5,23500,34999,7,7,Item Chest,epic,1
tg_tier_points_5,23500,34999,7,7,Rune Fragment,generic,50
tg_tier_points_5,35000,46999,7,7,gems,generic,60
tg_tier_points_5,35000,46999,7,7,Item Chest,epic,1
tg_tier_points_5,35000,46999,7,7,Rune Fragment,generic,55
tg_tier_points_5,47000,54999,7,7,gems,generic,70
tg_tier_points_5,47000,54999,7,7,Item Chest,epic,1
tg_tier_points_5,47000,54999,7,7,Rune Fragment,generic,60
tg_tier_points_5,55000,77499,7,7,gems,generic,80
tg_tier_points_5,55000,77499,7,7,Item Chest,epic,1
tg_tier_points_5,55000,77499,7,7,Rune Fragment,generic,65
tg_tier_points_5,77500,987654321,7,7,Cosmetic Chest,cosmetic,1
tg_tier_points_5,77500,987654321,7,7,gems,generic,150
tg_tier_points_5,77500,987654321,7,7,Item Chest,legendary,1
tg_tier_points_5,77500,987654321,7,7,Rune Fragment,generic,80
tg_tier_points_5,7000,8999,8,8,Epic Material,epic,1
tg_tier_points_5,7000,8999,8,8,gems,generic,15
tg_tier_points_5,7000,8999,8,8,Rune Fragment,generic,25
tg_tier_points_5,9000,17999,8,8,Epic Material,epic,1
tg_tier_points_5,9000,17999,8,8,gems,generic,20
tg_tier_points_5,9000,17999,8,8,Rune Fragment,generic,40
tg_tier_points_5,18000,34999,8,8,Epic Material,epic,1
tg_tier_points_5,18000,34999,8,8,gems,generic,25
tg_tier_points_5,18000,34999,8,8,Rune Fragment,generic,50
tg_tier_points_5,35000,54999,8,8,Epic Material,epic,1
tg_tier_points_5,35000,54999,8,8,gems,generic,30
tg_tier_points_5,35000,54999,8,8,Rune Fragment,generic,60
tg_tier_points_5,55000,72499,8,8,gems,generic,50
tg_tier_points_5,55000,72499,8,8,Item Chest,epic,1
tg_tier_points_5,55000,72499,8,8,Rune Fragment,generic,65
tg_tier_points_5,72500,89999,8,8,gems,generic,60
tg_tier_points_5,72500,89999,8,8,Item Chest,epic,1
tg_tier_points_5,72500,89999,8,8,Rune Fragment,generic,70
tg_tier_points_5,90000,109999,8,8,gems,generic,70
tg_tier_points_5,90000,109999,8,8,Item Chest,epic,1
tg_tier_points_5,90000,109999,8,8,Rune Fragment,generic,75
tg_tier_points_5,110000,164999,8,8,gems,generic,80
tg_tier_points_5,110000,164999,8,8,Item Chest,epic,1
tg_tier_points_5,110000,164999,8,8,Rune Fragment,generic,80
tg_tier_points_5,165000,987654321,8,8,Cosmetic Chest,cosmetic,1
tg_tier_points_5,165000,987654321,8,8,gems,generic,150
tg_tier_points_5,165000,987654321,8,8,Item Chest,legendary,1
tg_tier_points_5,165000,987654321,8,8,Rune Fragment,generic,100
tg_tier_points_5,10000,14999,9,9,Epic Material,epic,1
tg_tier_points_5,10000,14999,9,9,gems,generic,15
tg_tier_points_5,10000,14999,9,9,Rune Fragment,generic,25
tg_tier_points_5,15000,27499,9,9,Epic Material,epic,1
tg_tier_points_5,15000,27499,9,9,gems,generic,20
tg_tier_points_5,15000,27499,9,9,Rune Fragment,generic,40
tg_tier_points_5,27500,54999,9,9,Epic Material,epic,1
tg_tier_points_5,27500,54999,9,9,gems,generic,25
tg_tier_points_5,27500,54999,9,9,Rune Fragment,generic,50
tg_tier_points_5,55000,84999,9,9,Epic Material,epic,1
tg_tier_points_5,55000,84999,9,9,gems,generic,30
tg_tier_points_5,55000,84999,9,9,Rune Fragment,generic,60
tg_tier_points_5,85000,114999,9,9,gems,generic,50
tg_tier_points_5,85000,114999,9,9,Item Chest,epic,1
tg_tier_points_5,85000,114999,9,9,Rune Fragment,generic,70
tg_tier_points_5,115000,142499,9,9,gems,generic,60
tg_tier_points_5,115000,142499,9,9,Item Chest,epic,1
tg_tier_points_5,115000,142499,9,9,Rune Fragment,generic,75
tg_tier_points_5,142500,174999,9,9,gems,generic,70
tg_tier_points_5,142500,174999,9,9,Item Chest,epic,1
tg_tier_points_5,142500,174999,9,9,Rune Fragment,generic,80
tg_tier_points_5,175000,249999,9,9,Cosmetic Chest,cosmetic,1
tg_tier_points_5,175000,249999,9,9,gems,generic,80
tg_tier_points_5,175000,249999,9,9,Item Chest,epic,1
tg_tier_points_5,175000,249999,9,9,Rune Fragment,generic,90
tg_tier_points_5,250000,987654321,9,9,Cosmetic Chest,cosmetic,1
tg_tier_points_5,250000,987654321,9,9,gems,generic,150
tg_tier_points_5,250000,987654321,9,9,Item Chest,legendary,1
tg_tier_points_5,250000,987654321,9,9,Rune Fragment,generic,110
tg_tier_points_5,17500,22499,10,10,Epic Material,epic,1
tg_tier_points_5,17500,22499,10,10,gems,generic,20
tg_tier_points_5,17500,22499,10,10,Rune Fragment,generic,25
tg_tier_points_5,22500,44999,10,10,Epic Material,epic,1
tg_tier_points_5,22500,44999,10,10,gems,generic,25
tg_tier_points_5,22500,44999,10,10,Rune Fragment,generic,40
tg_tier_points_5,45000,84999,10,10,Epic Material,epic,1
tg_tier_points_5,45000,84999,10,10,gems,generic,30
tg_tier_points_5,45000,84999,10,10,Rune Fragment,generic,50
tg_tier_points_5,85000,129999,10,10,Epic Material,epic,1
tg_tier_points_5,85000,129999,10,10,gems,generic,35
tg_tier_points_5,85000,129999,10,10,Rune Fragment,generic,60
tg_tier_points_5,130000,174999,10,10,gems,generic,50
